,feature,is_applied,dtype,min,max,unique_vals,missing_rep_val,high_outlier_rep_val
0,age,1,int64,17,98,NaN,38.0,65
1,job,1,object,NaN,NaN,"housemaid,services,admin.,blue-collar,technician,retired,management,unemployed,self-employed,unknown,entrepreneur,student",admin.,NaN
2,marital,1,object,NaN,NaN,"married,single,divorced,unknown",married,NaN
3,education,1,object,NaN,NaN,"basic.4y,high.school,basic.6y,basic.9y,professional.course,unknown,university.degree,illiterate",university.degree,NaN
4,default,0,object,NaN,NaN,"no,unknown,yes",no,NaN
5,housing,1,object,NaN,NaN,"no,yes,unknown",yes,NaN
6,loan,1,object,NaN,NaN,"no,yes,unknown",no,NaN
7,contact,1,object,NaN,NaN,"telephone,cellular",cellular,NaN
8,month,1,object,NaN,NaN,"may,jun,jul,aug,oct,nov,dec,mar,apr,sep",may,NaN
9,day_of_week,1,object,NaN,NaN,"mon,tue,wed,thu,fri",thu,NaN
10,duration,1,int64,0,4918,NaN,180.0,752.6500000000015
11,campaign,1,int64,1,56,NaN,2.0,6
12,pdays,0,int64,0,999,NaN,999.0,999.0
13,previous,1,int64,0,7,NaN,0.0,1.0
14,poutcome,1,object,NaN,NaN,"nonexistent,failure,success",nonexistent,NaN
15,emp.var.rate,1,float64,-3.4,1.4,NaN,1.1,1.4
16,cons.price.idx,1,float64,92.20100000000001,94.76700000000001,NaN,93.7,94.465
17,cons.conf.idx,1,float64,-50.8,-26.9,NaN,-41.8,-33.6
18,euribor3m,1,float64,0.634,5.045,NaN,4.9,4.966
19,nr.employed,1,float64,4963.6,5228.1,NaN,5191.0,5228.1
